pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_massj,pl_massjerr1,pl_massjerr2,pl_masslim,pl_massn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinilim,pl_msinin,pl_radj,pl_radjerr1,pl_radjerr2,pl_radlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_teffn,st_mass,st_masserr,st_masslim,st_massblend,st_massn,st_rad,st_raderr,st_radlim,st_radblend,st_radn,hd_name,hip_name
HD 7199,b,Radial Velocity,1,615.00000000,7.00000000,-7.00000000,0,1,1.360000,0.020000,-0.020000,0,1,0.190000,0.190000,-0.130000,0,1,,,,,0,,,,,0,0.29000,0.02300,-0.02300,0,1,,,,,0,,,,,0,0,0,01h10m47.22s,-66d11m17.4s,17.696762,0.000001,-66.188164,0.000001,2,35.88,0.87,-0.91,0,1,8.027,0.011,0,0,,,,,0,,,,,0,,,,,0,HD 7199,HIP 5529
HD 7449,b,Radial Velocity,2,1275.00000000,15.00000000,-11.00000000,0,1,2.300000,0.040000,-0.040000,0,1,0.820000,0.060000,-0.060000,0,1,,,,,0,,,,,0,1.11000,0.27000,-0.37000,0,1,,,,,0,,,,,0,0,0,01h14m29.32s,-05d02m50.6s,18.622173,0.000002,-5.047387,0.000001,2,38.52,1.11,-1.18,0,1,7.483,0.011,0,0,,,,,0,,,,,0,,,,,0,HD 7449,HIP 5806
HD 7449,c,Radial Velocity,2,4046.00000000,186.00000000,-366.00000000,0,1,4.960000,0.200000,-0.300000,0,1,0.530000,0.080000,-0.080000,0,1,,,,,0,,,,,0,2.00000,0.36000,-0.54000,0,1,,,,,0,,,,,0,0,0,01h14m29.32s,-05d02m50.6s,18.622173,0.000002,-5.047387,0.000001,2,38.52,1.11,-1.18,0,1,7.483,0.011,0,0,,,,,0,,,,,0,,,,,0,HD 7449,HIP 5806
HD 7924,b,Radial Velocity,1,5.39780000,0.00150000,-0.00150000,0,1,0.057000,,,0,1,0.170000,0.160000,-0.160000,0,1,,,,,0,,,,,0,0.02900,,,0,1,,,,,0,,,,,0,0,0,01h21m59.12s,+76d42m37.0s,20.496313,0.000001,76.710281,0.000001,2,16.82,0.17,-0.17,0,2,7.167,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 7924,HIP 6379
HD 8535,b,Radial Velocity,1,1313.00000000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.63000,,,0,1,,,,,0,,,,,0,0,0,01h23m37.24s,-41d16m11.3s,20.905149,0.000001,-41.269802,0.000002,2,56.34,2.55,-2.80,0,1,7.686,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 8535,HIP 6511
HD 8574,b,Radial Velocity,1,227.00000000,0.20000000,-0.20000000,0,1,0.757000,0.005000,-0.005000,0,1,0.297000,0.026000,-0.026000,0,1,,,,,0,,,,,0,1.80000,0.06000,-0.06000,0,1,,,,,0,,,,,0,0,0,01h25m12.52s,+28d34m00.1s,21.302153,0.000002,28.566692,0.000001,2,44.15,1.54,-1.66,0,1,7.112,0.011,0,0,,,,,0,,,,,0,,,,,0,HD 8574,HIP 6643
HD 8673,b,Radial Velocity,1,1634.00000000,17.00000000,-17.00000000,0,1,3.020000,0.150000,-0.150000,0,1,0.723000,0.016000,-0.016000,0,1,,,,,0,,,,,0,14.20000,1.60000,-1.60000,0,1,,,,,0,,,,,0,0,0,01h26m08.78s,+34d34m46.9s,21.536604,0.000002,34.579700,0.000001,2,38.26,1.12,-1.19,0,1,6.341,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 8673,HIP 6702
HD 9446,b,Radial Velocity,2,30.05200000,0.02700000,-0.02700000,0,1,0.189000,0.006000,-0.006000,0,1,0.200000,0.060000,-0.060000,0,1,,,,,0,,,,,0,0.70000,0.06000,-0.06000,0,1,,,,,0,,,,,0,0,0,01h33m20.18s,+29d15m54.5s,23.334101,0.000002,29.265148,0.000002,2,52.85,2.80,-3.14,0,1,8.369,0.015,0,0,,,,,0,,,,,0,,,,,0,HD 9446,HIP 7245
HD 9446,c,Radial Velocity,2,192.90000000,0.90000000,-0.90000000,0,1,0.654000,0.022000,-0.022000,0,1,0.060000,0.060000,-0.060000,0,1,,,,,0,,,,,0,1.82000,0.17000,-0.17000,0,1,,,,,0,,,,,0,0,0,01h33m20.18s,+29d15m54.5s,23.334101,0.000002,29.265148,0.000002,2,52.85,2.80,-3.14,0,1,8.369,0.015,0,0,,,,,0,,,,,0,,,,,0,HD 9446,HIP 7245
HD 10180,c,Radial Velocity,6,5.75979000,0.00062000,-0.00062000,0,1,0.064100,0.001000,-0.001000,0,1,0.045000,0.026000,-0.026000,0,1,,,,,0,,,,,0,0.04122,0.00170,-0.00170,0,1,,,,,0,,,,,0,0,0,01h37m53.58s,-60d30m41.5s,24.473234,0.000001,-60.511528,0.000001,2,39.39,0.94,-0.99,0,1,7.321,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 10180,HIP 7599
